date	version
2023-04-23	5.36.1
2022-05-28	5.36.0
2022-03-13	5.34.1
2021-05-20	5.34.0
2021-01-23	5.32.1
2020-06-20	5.32.0
2020-06-01	5.30.3
2020-06-01	5.28.3
2020-03-14	5.30.2
2019-11-10	5.30.1
2019-05-22	5.30.0
2019-04-19	5.28.2
2018-11-29	5.28.1
2018-11-29	5.26.3
2018-06-23	5.28.0
2018-04-14	5.26.2
2018-04-14	5.24.4
2017-09-22	5.26.1
2017-09-22	5.24.3
2017-07-15	5.24.2
2017-07-15	5.22.4
2017-05-30	5.26.0
2017-01-14	5.24.1
2017-01-14	5.22.3
2016-05-09	5.24.0
2016-04-29	5.22.2
2015-12-13	5.22.1
2015-09-12	5.20.3
2015-06-01	5.22.0
2015-02-14	5.20.2
2014-10-02	5.18.4
2014-10-01	5.18.3
2014-09-14	5.20.1
2014-05-27	5.20.0
2014-01-07	5.18.2
2013-08-12	5.18.1
2013-05-18	5.18.0
2013-03-11	5.16.3
2013-03-10	5.14.4
2012-11-10	5.12.5
2012-11-01	5.16.2
2012-10-12	5.14.3
2012-08-08	5.16.1
2012-05-20	5.16.0
2011-09-26	5.14.2
2011-06-20	5.12.4
2011-06-17	5.14.1
2011-05-14	5.14.0
2011-01-22	5.12.3
2010-09-07	5.12.2
2010-05-16	5.12.1
2010-04-12	5.12.0
2009-08-23	5.10.1
2008-12-14	5.8.9
2007-12-18	5.10.0
2006-02-01	5.8.8
2005-05-30	5.8.7
2004-11-27	5.8.6
2004-07-19	5.8.5
2004-04-21	5.8.4
2004-01-14	5.8.3
2003-11-15	5.6.2
2003-11-05	5.8.2
2003-09-25	5.8.1
2002-07-18	5.8.0
2001-04-09	5.6.1
2000-03-23	5.6.0
